zcta5,geoid
a,b
40536,21067
84143,49035
26506,54061
01655,25027
92161,06073
35294,01073
94143,06075
40532,
91365,06037
92658,06059
80208,08031
03756,33099
27710,37063
84132,49035
23298,51760
44195,39035
20892,24031
06520,09009
32610,12001
14263,36029
18711,42079
21287,24510
08903,34023
65212,29019
27599,37135
01805,25017
37232,47037
79140,
32611,12001
20889,24031
68198,31055
14642,36055
77555,48167
22908,51540
98431,53053
92093,06073
66160,20209
29425,45019
92697,06059
27157,
85721,04019
15261,42003
07962,34027
06904,09001
45267,
61637,17143
70012,
23249,51760
87131,35001
44016,
85287,04013
27708,37063
